Rang,Unternehmen,Sitz,Kanton,Branche,Umsatz in Mio. Schweizer Franken,Umsatz in Mio. Euro
237,Ente Ospedaliero Cantonale (EOC),Bellinzona,TI,Gesundheitswesen,725,773
238,Kantonsspital Aarau,Aarau,AG,Gesundheitswesen,722,770
239,Migrolino,Suhr,AG,Detailhandel,716,764
240,Walo Bertschinger,Dietikon,ZH,Bauunternehmen,701,748
241,Elektrizitätswerke des Kantons Zürich,Zürich,ZH,Energieversorgung/-verteilung,701,748
242,Habasit,Reinach,BL,Förder- und Lagertechnik,700,747
243,IBSA Institut Biochimique,Massagno,TI,Chemie/Pharma,700,747
244,Ospelt Food,Sargans,SG,Fleischverarbeitung,700,747
245,Kudelski,Cheseaux-sur-Lausanne,VD,Unterhaltungselektronik,696,742
246,EDAG Engineering Group,Arbon,TG,Ingenieurunternehmen,696,742
247,Bettermann,Wolfenschiessen,NW,Elektronik/Elektrotechnik,695,741
248,Rational International,Heerbrugg,SG,Elektroapparate/Haushaltgeräte,695,741
249,Coop Bau+Hobby,Basel,BS,Detailhandel,694,740
250,Media Markt Schweiz,Dietikon,ZH,Detailhandel,694,740
251,Vinci Energies Schweiz,Zürich,ZH,Haustechnik/Gebäudeautomation,693,739
252,VAT Group,Haag,SG,Maschinenindustrie,692,738
253,Infinigate Holding,Risch-Rotkreuz,ZG,Computer/Informatik,689,735
254,Galliker Transport,Altishofen,LU,Gütertransporte/Terminals,680,725
255,Egon Zehnder International,Zürich,ZH,Unternehmensberatung,678,723
256,Robert Bosch Schweiz,Zuchwil,SO,Grosshandel (Elektronik),678,723
257,Vetropack Holding,St-Prex,VD,Verpackung,663,707
258,Belimo Holding,Hinwil,ZH,Haustechnik/Gebäudeautomation,661,705
259,Zehnder Group,Gränichen,AG,Haustechnik/Gebäudeautomation,661,705
260,Keytrade,Thalwil,ZH,Welt-/Rohstoffhandel,660,704
261,Burckhardt Compression,Winterthur,ZH,Maschinenindustrie,659,703
262,Montana Aerospace,Reinach,AG,Flugzeugteile,657,701
263,Hamilton Bonaduz,Bonaduz,GR,Medizinaltechnik,650,693
264,Nobel Biocare Services,Kloten,ZH,Medizinaltechnik,650,693
265,Sabag Holding,Biel,BE,Bauzulieferer/Bauelemente,650,693
266,Spaeter,Basel,BS,Metall-/Stahlhandel,650,693
267,Renault Suisse,Urdorf,ZH,Automobilhandel/-import,645,688
268,Ivoclar Vivadent,Schaan,,Medizinaltechnik,640,683
269,Magazine zum Globus,Spreitenbach,AG,Detailhandel,640,683
270,A.H. Meyer & Cie,Zürich,ZH,Mineralölhandel,633,675
271,Flughafen Zürich,Kloten,ZH,Luftverkehr,624,666
272,Eugster/Frismag,Amriswil,TG,Elektroapparate/Haushaltgeräte,620,661
273,Avaloq Evolution,Zürich,ZH,Computer/Informatik,610,651
274,Medela Holding,Baar,ZG,Medizinaltechnik,610,651
275,Estavayer Lait,Estavayer-le-Lac,FR,Nahrungsmittel,605,645
276,Orior,Zürich,ZH,Fleischverarbeitung,600,640
277,Halter AG,Zürich,ZH,Bauunternehmen,600,640
278,International Watch Company,Schaffhausen,SH,Uhrenindustrie,600,640
279,Jumbo-Markt,Dietlikon,ZH,Detailhandel,600,640
280,Hupac,Chiasso,TI,Gütertransporte/Terminals,597,637
281,Swissgrid,Laufenburg,AG,Energieversorgung/-verteilung,588,627
282,Energie 360°,Zürich,ZH,Energieversorgung/-verteilung,582,621
283,Schneider Electric (Schweiz),Ittigen,BE,Computer/Informatik,580,619
284,TAG Heuer,La Chaux-de-Fonds,NE,Uhrenindustrie,580,619
285,Jura Elektroapparate,Niederbuchsiten,SO,Elektroapparate/Haushaltgeräte,580,619
286,Solothurner Spitäler,Solothurn,SO,Gesundheitswesen,579,618
287,Gurit Holding,Wattwil,SG,Mischkonzern,579,618
288,Rieter Holding,Winterthur,ZH,Maschinenindustrie,573,611
289,V-Zug,Zug,ZG,Elektroapparate/haushaltgeräte,569,607
290,Romande Energie,Morges,VD,Energieversorgung/-verteilung,569,607
291,Kantonsspital Thurgau,Frauenfeld,TG,Gesundheitswesen,566,604
292,Allreal Holding,Baar,ZG,Immobilien/GU/Dienstleistungen,564,602
293,Sanitas Troesch,Bern,BE,Bauzulieferer/Bauelemente,559,596
294,Maxon Motor,Sachseln,OW,Elektronik/Elektrotechnik,554,591
295,Pfister Arco Holding,Suhr,AG,Möbel/Inneneinrichtung,550,587
296,Gaznat,Vevey,VD,Energieversorgung/-verteilung,545,581
297,Ernst & Young,Basel,BS,Wirtschaftsprüfung,540,576
298,Cargo24,Zürich,ZH,Gütertransporte/Terminals,539,575
299,Kantonsspital Winterthur,Winterthur,ZH,Gesundheitswesen,535,571
300,Sauter Building Control,Basel,BS,Haustechnik/Gebäudeautomation,535,571
301,Pistor Holding,Rothenburg,LU,Grosshandel (Food),535,571
302,Elektro-Material AG,Zürich,ZH,Grosshandel (Elektronik),533,569
303,Tertianum Management,Dübendorf,ZH,Dienstleistungen,533,569
304,LV-St.Gallen,St. Gallen,SG,Grosshandel (Food),531,566
305,Interroll Holding,S. Antonino,TI,Förder- und Lagertechnik,531,566
306,Anicom,Bern,BE,Grosshandel (Non Food),530,565
307,Engie Services,Zürich,ZH,Facility Management,520,555
308,Mibelle,Buchs AG,AG,Kosmetik/Körperpflege,520,555
309,Kantonsspital Freiburg,Freiburg,FR,Gesundheitswesen,518,553
310,Kabelwerke Brugg,Brugg AG,AG,Draht/Kabel/Gummi/Maschinen,515,549
311,Huawei Technologies Switzerland,Liebefeld,BE,Telecom,512,546
312,Verkehrsbetriebe Zürich,Zürich,ZH,Bahnen/Öffentlicher Verkehr,508,542
313,Deloitte,Zürich,ZH,Unternehmensberatung,506,540
314,Randstad (Schweiz),Zürich,ZH,Personalvermittlung,505,539
315,Hublot,Genf,GE,Uhrenindustrie,500,533
316,Müller Martini,Zofingen,AG,Maschinenindustrie,500,533
317,SV Group,Dübendorf,ZH,Gastronomie/Catering,500,533
318,Burkhalter Holding,Zürich,ZH,Gebäudetechnik,1'127,1.392
319,Feintool International,Lyss,BE,Metallverarbeitung,492,525
320,McDonalds Suisse,Crissier,VD,Gastronomie/Catering,490,523
321,Meier Tobler,Nebikon,LU,Haustechnik/Gebäudeautomation,487,520
322,Rhomberg Sersa Rail,Zürich,ZH,Bahntechnik/Geleisebau,480,512
323,Breitling,Grenchen,SO,Uhrenindustrie,480,512
324,Metrohm,Herisau,AR,Mischkonzern,480,512
325,Conforama Suisse,Ecublens,VD,Möbel/Inneneinrichtung,477,509
326,Kestenholz-Gruppe,Pratteln,BL,Automobilhandel/-import,476,508
327,Cremo,Villars-sur-Glâne,FR,Nahrungsmittel,475,507
328,Aebi Schmidt Holding,Frauenfeld,TG,Fahrzeug-/Karosseriebau,466,497
329,Energie Wasser Bern,Bern,BE,Energieversorgung/-verteilung,466,497
330,Intel Semiconductor,Zürich,ZH,Computer/Informatik,456,486
331,Weleda,Arlesheim,BL,Chemie/Pharma,454,484
332,Orange Business Service,Zürich,ZH,Computer/Informatik,452,482
333,Symantec Switzerland,Glattbrugg,ZH,Computer/Informatik,452,482
334,L.U. Chopard & Cie,Meyrin,GE,Uhrenindustrie,450,480
335,Haco,Muri bei Bern,BE,Nahrungsmittel,450,480
336,CPH Chemie + Papier,Perlen,LU,Papier-/Kartonindustrie,445,475
337,KPMG,Zürich,ZH,Wirtschaftsprüfung,443,473
338,Acino Holding,Zürich,ZH,Chemie/Pharma,440,469
339,Ochsner Sport,Dietikon,ZH,Schuhproduktion/-handel,440,469
340,H&M Hennes & Mauritz,Zürich,ZH,Detailhandel (Bekleidung),440,469
341,Transports publics genevois,Lancy,GE,Bahnen/Öffentlicher Verkehr,434,463
342,Kantonsspital Baselland,Liestal,BL,Gesundheitswesen,434,463
343,Behr Bircher Cellpack BBC,Villmergen,AG,Mischkonzern,430,459
344,Hans Oetiker Holding,Horgen,ZH,Automobilhandel/-import,430,459
345,Jaeger-LeCoultre,Le Sentier,VD,Uhrenindustrie,430,459
346,GVFI International,Basel,BS,Grosshandel (Food),425,453
347,Ingram Micro,Cham,ZG,Computer/Informatik,425,453
348,Kernkraftwerk Leibstadt,Leibstadt,AG,Energieversorgung/-verteilung,424,452
349,World Steel Trade,Genève,GE,Metall-/Stahlhandel,424,452
350,Oettinger Davidoff,Basel,BS,Tabakindustrie/-handel,423,451
351,Gasverbund Mittelland,Arlesheim,BL,Energieversorgung/-verteilung,423,451
352,Bechtle Holding Schweiz,Rotkreuz,ZG,Computer/Informatik,422,450
353,Hoval Gruppe,Vaduz,,Haustechnik/Gebäudeautomation,421,449
354,Bulgari Horlogerie,Neuenburg,NE,Uhrenindustrie,420,448
355,Lenovo (Schweiz) GmbH,Zürich,ZH,Computer/Informatik,420,448
356,CH Media,Aarau,AG,Graphisches Gewerbe/Verlage,418,446
357,Ericsson,Bern,BE,Computer/Informatik,416,444
358,Highlight Communications,Pratteln,BL,Graphisches Gewerbe/Verlage,415,443
359,Lindenhofgruppe,Bern,BE,Gesundheitswesen,414,442
360,Kardex,Zürich,ZH,Förder- und Lagertechnik,413,441
361,Rhenus Alpina,Basel,BS,Gütertransporte/Terminals,410,437
362,Ypsomed Holding,Burgdorf,BE,Medizinaltechnik,404,431
363,Bachem Holding,Bubendorf,BL,Chemie/Pharma,402,429
364,Cognizant Technology Solutions,Zug,ZG,Computer/Informatik,401,428
365,Baumer Holding,Frauenfeld,TG,Elektronik/Elektrotechnik,400,427
366,Vacheron Constantin,Genf,GE,Uhrenindustrie,400,427
367,Kantonsspital Baden,Baden,AG,Gesundheitswesen,398,425
368,Asstra - Associated Traffic,Zürich,ZH,Logistik/Spedition,396,422
